2026-04-12 01:00:28.117 | INFO     | 2dba9120-7e80-4ba0-8449-a2ac4c89dc22 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 01:00:28.118 | INFO     | 99060234-972b-4799-8bee-cad8a0aea969 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 01:00:28.118 | INFO     | 836a8a38-88d8-43c0-9b3b-764484bf69b2 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 01:00:28.120 | INFO     | 2dba9120-7e80-4ba0-8449-a2ac4c89dc22 | - | /api/v1/users/me/permissions | OPTIONS | 200 | 2.89ms | 0B | 0B
2026-04-12 01:00:28.120 | INFO     | 2dba9120-7e80-4ba0-8449-a2ac4c89dc22 | - | - | - | 200 | 2.89ms | -B | -B
2026-04-12 01:00:28.121 | INFO     | 99060234-972b-4799-8bee-cad8a0aea969 | - | /api/v1/auth/profile | OPTIONS | 200 | 3.33ms | 0B | 0B
2026-04-12 01:00:28.121 | INFO     | 99060234-972b-4799-8bee-cad8a0aea969 | - | - | - | 200 | 3.33ms | -B | -B
2026-04-12 01:00:28.122 | INFO     | 836a8a38-88d8-43c0-9b3b-764484bf69b2 | - | /api/v1/users/me/roles | OPTIONS | 200 | 3.71ms | 0B | 0B
2026-04-12 01:00:28.122 | INFO     | 836a8a38-88d8-43c0-9b3b-764484bf69b2 | - | - | - | 200 | 3.71ms | -B | -B
2026-04-12 01:00:28.123 | INFO     | 4cd3a494-7a4d-4ddd-9d21-d67492e8abd1 | - | - | GET | - | -ms | -B | -B
2026-04-12 01:00:28.131 | INFO     | 84513f00-6a2d-469c-9a21-2fecb0876852 | - | - | GET | - | -ms | -B | -B
2026-04-12 01:00:28.131 | INFO     | 6154f6d6-4ec8-4579-9650-1a4748ad98b6 | - | - | GET | - | -ms | -B | -B
2026-04-12 01:00:28.160 | INFO     | 6154f6d6-4ec8-4579-9650-1a4748ad98b6 | - | /api/v1/auth/profile | GET | 200 | 28.88ms | 0B | 0B
2026-04-12 01:00:28.162 | INFO     | 6154f6d6-4ec8-4579-9650-1a4748ad98b6 | - | - | - | 200 | 28.88ms | -B | -B
2026-04-12 01:00:28.180 | INFO     | 84513f00-6a2d-469c-9a21-2fecb0876852 | - | /api/v1/users/me/roles | GET | 422 | 49.0ms | 0B | 0B
2026-04-12 01:00:28.181 | INFO     | 84513f00-6a2d-469c-9a21-2fecb0876852 | - | - | - | 422 | 49.0ms | -B | -B
2026-04-12 01:00:28.217 | INFO     | 4cd3a494-7a4d-4ddd-9d21-d67492e8abd1 | - | /api/v1/users/me/permissions | GET | 200 | 93.64ms | 0B | 0B
2026-04-12 01:00:28.217 | INFO     | 4cd3a494-7a4d-4ddd-9d21-d67492e8abd1 | - | - | - | 200 | 93.64ms | -B | -B
2026-04-12 01:00:28.315 | INFO     | 8d9e08ff-e9ac-4f92-8188-abf636d4e3e5 | - | - | OPTIONS | - | -ms | -B | -B
2026-04-12 01:00:28.316 | INFO     | 8d9e08ff-e9ac-4f92-8188-abf636d4e3e5 | - | /api/v1/menus/my | OPTIONS | 200 | 1.06ms | 0B | 0B
2026-04-12 01:00:28.317 | INFO     | 8d9e08ff-e9ac-4f92-8188-abf636d4e3e5 | - | - | - | 200 | 1.06ms | -B | -B
2026-04-12 01:00:28.319 | INFO     | 6ea29149-4c6e-45c8-ac94-d1501737814e | - | - | GET | - | -ms | -B | -B
2026-04-12 01:00:28.328 | INFO     | 6ea29149-4c6e-45c8-ac94-d1501737814e | - | /api/v1/menus/my | GET | 422 | 8.89ms | 0B | 0B
2026-04-12 01:00:28.328 | INFO     | 6ea29149-4c6e-45c8-ac94-d1501737814e | - | - | - | 422 | 8.89ms | -B | -B
2026-04-12 16:55:55.150 | INFO     | 0f005d2b-7962-481b-856c-913277f55a88 | - | - | GET | - | -ms | -B | -B
2026-04-12 16:55:55.387 | INFO     | 0f005d2b-7962-481b-856c-913277f55a88 | - | /docs | GET | 200 | 237.37ms | 0B | 0B
2026-04-12 16:55:55.388 | INFO     | 0f005d2b-7962-481b-856c-913277f55a88 | - | - | - | 200 | 237.37ms | -B | -B
2026-04-12 16:55:55.495 | INFO     | d21cf1e2-3a6d-4c09-90b8-cccba785db8a | - | - | GET | - | -ms | -B | -B
2026-04-12 16:55:55.598 | INFO     | d21cf1e2-3a6d-4c09-90b8-cccba785db8a | - | /openapi.json | GET | 200 | 103.7ms | 0B | 0B
2026-04-12 16:55:55.599 | INFO     | d21cf1e2-3a6d-4c09-90b8-cccba785db8a | - | - | - | 200 | 103.7ms | -B | -B
2026-04-12 17:24:00.304 | INFO     | d439dc87-0373-4383-9dd3-cb0b116a1adf | - | - | GET | - | -ms | -B | -B
2026-04-12 17:24:00.309 | INFO     | d439dc87-0373-4383-9dd3-cb0b116a1adf | - | /docs | GET | 200 | 4.52ms | 0B | 0B
2026-04-12 17:24:00.310 | INFO     | d439dc87-0373-4383-9dd3-cb0b116a1adf | - | - | - | 200 | 4.52ms | -B | -B
2026-04-12 17:24:00.401 | INFO     | 22440c91-27a7-4b14-8d54-aa592d5e11d6 | - | - | GET | - | -ms | -B | -B
2026-04-12 17:24:00.518 | INFO     | 22440c91-27a7-4b14-8d54-aa592d5e11d6 | - | /openapi.json | GET | 200 | 116.77ms | 0B | 0B
2026-04-12 17:24:00.518 | INFO     | 22440c91-27a7-4b14-8d54-aa592d5e11d6 | - | - | - | 200 | 116.77ms | -B | -B
2026-04-12 17:24:16.059 | INFO     | 2f2153d5-fa52-4c0d-bc33-61d9cfb1936b | - | - | POST | - | -ms | -B | -B
2026-04-12 17:24:26.075 | INFO     | 2f2153d5-fa52-4c0d-bc33-61d9cfb1936b | - | /api/v1/auth/login | POST | 500 | 10015.34ms | 0B | 0B
2026-04-12 17:24:26.076 | INFO     | 2f2153d5-fa52-4c0d-bc33-61d9cfb1936b | - | - | - | 500 | 10015.34ms | -B | -B
2026-04-12 17:29:36.095 | INFO     | e880e032-fdb3-420c-ad28-982ca300f0b4 | - | - | POST | - | -ms | -B | -B
2026-04-12 17:29:36.555 | INFO     | - | - | - | - | - | -ms | -B | -B
2026-04-12 17:29:36.557 | INFO     | e880e032-fdb3-420c-ad28-982ca300f0b4 | - | /api/v1/auth/login | POST | 200 | 462.21ms | 0B | 0B
2026-04-12 17:29:36.558 | INFO     | e880e032-fdb3-420c-ad28-982ca300f0b4 | - | - | - | 200 | 462.21ms | -B | -B
2026-04-12 17:29:53.221 | INFO     | 7e7d9ba3-4669-444b-ab9d-c4deccb89ca9 | - | - | GET | - | -ms | -B | -B
2026-04-12 17:29:53.337 | INFO     | 7e7d9ba3-4669-444b-ab9d-c4deccb89ca9 | - | /api/v1/system-dicts | GET | 200 | 116.09ms | 0B | 0B
2026-04-12 17:29:53.338 | INFO     | 7e7d9ba3-4669-444b-ab9d-c4deccb89ca9 | - | - | - | 200 | 116.09ms | -B | -B
2026-04-12 17:30:02.109 | INFO     | c0ff2395-fb1b-4d15-9793-34c46b271a74 | - | - | GET | - | -ms | -B | -B
2026-04-12 17:30:02.128 | ERROR    | - | - | - | - | - | -ms | -B | -B
2026-04-12 17:30:02.130 | INFO     | c0ff2395-fb1b-4d15-9793-34c46b271a74 | - | /api/v1/operation-logs | GET | 403 | 21.34ms | 0B | 0B
2026-04-12 17:30:02.131 | INFO     | c0ff2395-fb1b-4d15-9793-34c46b271a74 | - | - | - | 403 | 21.34ms | -B | -B
